data__id,data__name,data__league_id,data__is_current_season,data__current_round_id,data__current_stage_id,data__fixtures__data__id,data__fixtures__data__league_id,data__fixtures__data__season_id,data__fixtures__data__stage_id,data__fixtures__data__round_id,,,data__fixtures__data__venue_id,data__fixtures__data__referee_id,data__fixtures__data__localteam_id,data__fixtures__data__visitorteam_id,data__fixtures__data__winner_team_id,data__fixtures__data__weather_report,data__fixtures__data__weather_report__code,data__fixtures__data__weather_report__type,data__fixtures__data__weather_report__icon,data__fixtures__data__weather_report__temperature__temp,data__fixtures__data__weather_report__temperature__unit,data__fixtures__data__weather_report__temperature_celcius__temp,data__fixtures__data__weather_report__temperature_celcius__unit,data__fixtures__data__weather_report__clouds,data__fixtures__data__weather_report__humidity,data__fixtures__data__weather_report__pressure,data__fixtures__data__weather_report__wind__speed,data__fixtures__data__weather_report__wind__degree,data__fixtures__data__weather_report__coordinates__lat,data__fixtures__data__weather_report__coordinates__lon,data__fixtures__data__weather_report__updated_at,data__fixtures__data__commentaries,data__fixtures__data__attendance,data__fixtures__data__pitch,data__fixtures__data__details,data__fixtures__data__neutral_venue,data__fixtures__data__winning_odds_calculated,data__fixtures__data__formations__localteam_formation,data__fixtures__data__formations__visitorteam_formation,data__fixtures__data__scores__localteam_score,data__fixtures__data__scores__visitorteam_score,data__fixtures__data__scores__localteam_pen_score,data__fixtures__data__scores__visitorteam_pen_score,data__fixtures__data__scores__ht_score,data__fixtures__data__scores__ft_score,data__fixtures__data__scores__et_score,data__fixtures__data__scores__ps_score,data__fixtures__data__time__status,data__fixtures__data__time__starting_at__date_time,data__fixtures__data__time__starting_at__date,data__fixtures__data__time__starting_at__time,data__fixtures__data__time__starting_at__timestamp,data__fixtures__data__time__starting_at__timezone,data__fixtures__data__time__minute,data__fixtures__data__time__second,data__fixtures__data__time__added_time,data__fixtures__data__time__extra_minute,data__fixtures__data__time__injury_time,data__fixtures__data__coaches__localteam_coach_id,data__fixtures__data__coaches__visitorteam_coach_id,data__fixtures__data__standings__localteam_position,data__fixtures__data__standings__visitorteam_position,data__fixtures__data__assistants__first_assistant_id,data__fixtures__data__assistants__second_assistant_id,data__fixtures__data__assistants__fourth_official_id,data__fixtures__data__leg,data__fixtures__data__colors,data__fixtures__data__colors__|,data__fixtures__data__colors__|__color,data__fixtures__data__colors__|__kit_colors,data__fixtures__data__deleted,,
,,,,,,11867241,8,16036,77443862,169653,,,151,15273,9,6,null,,clouds,broken clouds,https://cdn.sportmonks.com/images/weather/04d.png,74.01,fahrenheit,23.3,celcius,75%,69%,1018,9.17 m/s,140,43,-71.45,2019-08-17T18:15:02.205181Z,TRUE,54503,null,null,FALSE,TRUE,04/03/2003,4-2-3-1,2,2,null,null,02-Jan,02-Feb,null,null,FT,17/08/2019 16:30,17/08/2019,16:30:00,1566059400,UTC,90,null,null,null,null,455361,455358,1,6,12767,12769,15294,01-Jan,,localteam,#79ADE2,"#79ADE2,#79ADE2,#79ADE2,#79ADE2,#C40010,#0046A8,#F0F0F0",FALSE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,visitorteam,#022857,"#022857,#022857,#022857,#022857,#0A0A0A,#0046A8,#022857",,,
,,,,,,11867242,8,16036,77443862,169653,,,489,15835,33,20,33,,clouds,few clouds,https://cdn.sportmonks.com/images/weather/02d.png,72.09,fahrenheit,22.3,celcius,20%,49%,1003,17.22 m/s,230,52.63,1.29,2019-08-17T15:45:07.317057Z,TRUE,27059,null,null,FALSE,TRUE,4-2-3-1,03/05/2002,3,1,null,null,1-0,03-Jan,null,null,FT,17/08/2019 14:00,17/08/2019,14:00:00,1566050400,UTC,90,null,null,null,null,460535,455377,16,14,12083,12091,13574,01-Jan,,localteam,#FFDF1B,"#FBED32,#FBED32,#FBED32,#316F37,#999999,#888888,#316F37",FALSE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,visitorteam,#0A0A0A,"#0A0A0A,#F0F0F0,#BBBBBB,#AAAAAA,#999999,#888888,#191911",,,
,,,,,,11867243,8,16036,77443862,169653,,,2,11691,21,51,21,,clouds,few clouds,https://cdn.sportmonks.com/images/weather/02d.png,66.87,fahrenheit,19.4,celcius,20%,52%,1002,20.8 m/s,230,53.38,-1.47,2019-08-18T14:45:04.344700Z,TRUE,30197,null,null,FALSE,TRUE,03/05/2002,04/04/2002,1,0,null,null,0-0,1-0,null,null,FT,18/08/2019 13:00,18/08/2019,13:00:00,1566133200,UTC,90,null,null,null,null,455400,4592176,11,12,13551,12087,13561,01-Jan,,localteam,#C40010,"#C40010,#F0F0F0,#F0F0F0,#F0F0F0,#F0F0F0,#FFDF1B,#0A0A0A",FALSE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,visitorteam,#262626,"#262626,#262626,#C40010,#0046A8,#262626,#0046A8,#262626",,,
,,,,,,11867244,8,16036,77443862,169653,,,167,14533,65,8,8,,clouds,scattered clouds,https://cdn.sportmonks.com/images/weather/03d.png,67.8,fahrenheit,19.9,celcius,40%,64%,1006,16.11 m/s,210,50.9,-1.4,2019-08-17T15:45:07.334715Z,TRUE,31712,null,null,FALSE,TRUE,03/05/2002,04/03/2003,1,2,null,null,0-1,01-Feb,null,null,FT,17/08/2019 14:00,17/08/2019,14:00:00,1566050400,UTC,90,null,4,null,null,524297,455353,17,5,12085,12712,13561,01-Jan,,localteam,#C40010,"#C40010,#F0F0F0,#C40010,#C40010,#A10C12,#A10C12,#0A0A0A",FALSE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,visitorteam,#262626,"#262626,#262626,#262626,#262626,#C40010,#0046A8,#262626",,,
,,,,,,11867245,8,16036,77443862,169653,,,492,13533,29,14,null,,clouds,few clouds,https://cdn.sportmonks.com/images/weather/02n.png,56.52,fahrenheit,13.6,celcius,20%,76%,1016,8.05 m/s,220,52.58,-2.13,2019-08-19T20:45:01.861162Z,TRUE,31314,null,null,FALSE,TRUE,03/05/2002,4-2-3-1,1,1,null,null,0-1,01-Jan,null,null,FT,19/08/2019 19:00,19/08/2019,19:00:00,1566241200,UTC,90,null,null,null,null,455991,524307,13,9,12025,12245,14661,01-Jan,,localteam,#FDBD0F,"#FDBD0F,#FDBD0F,#FDBD0F,#FDBD0F,#FDBD0F,#FFDF1B,#0A0A0A",FALSE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,visitorteam,#D50619,"#C40010,#C40010,#C40010,#C40010,#A70000,#A70000,#F0F0F0",,,
